teamName,country,stadiumName,rivalName,rivalLevel
Pacos de Ferreira,Portugal,Estadio Capital do Movel,Portimonense,6
Portimonense,Portugal,Estadio Municipal de Portimao,Vitoria de Setubal,3
Porto,Portugal,Estadio do Dragao,Benfica,6
Rio Ave,Portugal,Estadio dos Arcos,Santa Clara,10
Santa Clara,Portugal,Estadio de Sao Miguel,Pacos de Ferreira,2
Sporting CP,Portugal,Estadio Jose Alvalade,Vitoria de Guimaraes,10
Tondela,Portugal,Estadio Joao Cardoso,Gil Vicente,2
Vitoria de Guimaraes,Portugal,Estadio D. Afonso Henriques,Tondela,3
Vitoria de Setubal,Portugal,Estadio do Bonfim,Maritimo,3
Anderlecht,Belgium, Constant Vanden Stock Stadium,Standard Liege,8
Antwerp,Belgium,Bosuilstadion,Oostende,3
Cercle Brugge,Belgium,Jan Breydel Stadium,Eupen,9
Charleroi,Belgium,Stade du Pays de Charleroi,Mechelen,5
Club Brugge,Belgium,JanBreydel Stadium,Kortrijk,7
Eupen,Belgium,Kehrwegstadion,Genk,1
Genk,Belgium,Luminus Arena,Gent,2
Gent,Belgium,Ghelamco Arena,Mouscron,5
Kortrijk,Belgium,Guldensporen Stadion,Cercle Brugge,5
Mechelen,Belgium,AFAS-stadion Achter de Kazerne,Antwerp,1
Mouscron,Belgium,Stade Le Canonnier,Charleroi,1
Oostende,Belgium,Versluys Arena,Sint-Truiden,6
Sint-Truiden,Belgium, Stayen,Anderlecht,2
Standard Liege,Belgium,Stade Maurice Dufrasne,Waasland-Beveren,4
Waasland-Beveren,Belgium,Freethiel Stadion,Club Brugge,1
Zulte Waregem,Belgium,Regenboogstadion,Zulte Waregem,8
